participant,demographics1:1,demographics1:2,demographics1:3,demographics2:1,anger_1:1,anger_1:2,anger_1:3,anger_1:4,anger_1:5,anger_1:6,anger_1:7,anger_1:8,anger_1:9,anger_1:10,anger_1:11,anger_1:12,anger_1:13,anger_1:14,anger_2:1,anger_2:2,anger_2:3,anger_2:4,anger_2:5,anger_2:6,anger_2:7,anger_2:8,anger_2:9,anger_2:10,anger_2:11,anger_2:12,anger_2:13,anger_2:14,bitter_1:1,bitter_1:2,bitter_1:3,bitter_1:4,bitter_1:5,bitter_1:6,bitter_1:7,bitter_1:8,bitter_1:9,bitter_1:10,bitter_1:11,bitter_1:12,bitter_1:13,bitter_1:14,bitter_2:1,bitter_2:2,bitter_2:3,bitter_2:4,bitter_2:5,bitter_2:6,bitter_2:7,bitter_2:8,bitter_2:9,bitter_2:10,bitter_2:11,bitter_2:12,bitter_2:13,bitter_2:14,fear_1:1,fear_1:2,fear_1:3,fear_1:4,fear_1:5,fear_1:6,fear_1:7,fear_1:8,fear_1:9,fear_1:10,fear_1:11,fear_1:12,fear_1:13,fear_1:14,fear_2:1,fear_2:2,fear_2:3,fear_2:4,fear_2:5,fear_2:6,fear_2:7,fear_2:8,fear_2:9,fear_2:10,fear_2:11,fear_2:12,fear_2:13,fear_2:14,joy_1:1,joy_1:2,joy_1:3,joy_1:4,joy_1:5,joy_1:6,joy_1:7,joy_1:8,joy_1:9,joy_1:10,joy_1:11,joy_1:12,joy_1:13,joy_1:14,joy_2:1,joy_2:2,joy_2:3,joy_2:4,joy_2:5,joy_2:6,joy_2:7,joy_2:8,joy_2:9,joy_2:10,joy_2:11,joy_2:12,joy_2:13,joy_2:14,peace_1:1,peace_1:2,peace_1:3,peace_1:4,peace_1:5,peace_1:6,peace_1:7,peace_1:8,peace_1:9,peace_1:10,peace_1:11,peace_1:12,peace_1:13,peace_1:14,peace_2:1,peace_2:2,peace_2:3,peace_2:4,peace_2:5,peace_2:6,peace_2:7,peace_2:8,peace_2:9,peace_2:10,peace_2:11,peace_2:12,peace_2:13,peace_2:14,power_1:1,power_1:2,power_1:3,power_1:4,power_1:5,power_1:6,power_1:7,power_1:8,power_1:9,power_1:10,power_1:11,power_1:12,power_1:13,power_1:14,power_2:1,power_2:2,power_2:3,power_2:4,power_2:5,power_2:6,power_2:7,power_2:8,power_2:9,power_2:10,power_2:11,power_2:12,power_2:13,power_2:14,sad_1:1,sad_1:2,sad_1:3,sad_1:4,sad_1:5,sad_1:6,sad_1:7,sad_1:8,sad_1:9,sad_1:10,sad_1:11,sad_1:12,sad_1:13,sad_1:14,sad_2:1,sad_2:2,sad_2:3,sad_2:4,sad_2:5,sad_2:6,sad_2:7,sad_2:8,sad_2:9,sad_2:10,sad_2:11,sad_2:12,sad_2:13,sad_2:14,surprise_1:1,surprise_1:2,surprise_1:3,surprise_1:4,surprise_1:5,surprise_1:6,surprise_1:7,surprise_1:8,surprise_1:9,surprise_1:10,surprise_1:11,surprise_1:12,surprise_1:13,surprise_1:14,surprise_2:1,surprise_2:2,surprise_2:3,surprise_2:4,surprise_2:5,surprise_2:6,surprise_2:7,surprise_2:8,surprise_2:9,surprise_2:10,surprise_2:11,surprise_2:12,surprise_2:13,surprise_2:14,tender_1:1,tender_1:2,tender_1:3,tender_1:4,tender_1:5,tender_1:6,tender_1:7,tender_1:8,tender_1:9,tender_1:10,tender_1:11,tender_1:12,tender_1:13,tender_1:14,tender_2:1,tender_2:2,tender_2:3,tender_2:4,tender_2:5,tender_2:6,tender_2:7,tender_2:8,tender_2:9,tender_2:10,tender_2:11,tender_2:12,tender_2:13,tender_2:14,tension_1:1,tension_1:2,tension_1:3,tension_1:4,tension_1:5,tension_1:6,tension_1:7,tension_1:8,tension_1:9,tension_1:10,tension_1:11,tension_1:12,tension_1:13,tension_1:14,tension_2:1,tension_2:2,tension_2:3,tension_2:4,tension_2:5,tension_2:6,tension_2:7,tension_2:8,tension_2:9,tension_2:10,tension_2:11,tension_2:12,tension_2:13,tension_2:14,transcendence_1:1,transcendence_1:2,transcendence_1:3,transcendence_1:4,transcendence_1:5,transcendence_1:6,transcendence_1:7,transcendence_1:8,transcendence_1:9,transcendence_1:10,transcendence_1:11,transcendence_1:12,transcendence_1:13,transcendence_1:14,transcendence_2:1,transcendence_2:2,transcendence_2:3,transcendence_2:4,transcendence_2:5,transcendence_2:6,transcendence_2:7,transcendence_2:8,transcendence_2:9,transcendence_2:10,transcendence_2:11,transcendence_2:12,transcendence_2:13,transcendence_2:14,goldmsi1:1,goldmsi1:2,goldmsi1:3,goldmsi1:4,goldmsi1:5,goldmsi1:6,goldmsi1:7,goldmsi1:8,goldmsi1:9,goldmsi1:10,goldmsi2:1,goldmsi2:2,goldmsi2:3,goldmsi2:4,goldmsi2:5,goldmsi2:6,goldmsi2:7,goldmsi2:8,goldmsi2:9,goldmsi2:10,goldmsi3:1,goldmsi3:2,goldmsi3:3,goldmsi3:4,goldmsi3:5,goldmsi3:6,goldmsi3:7,goldmsi3:8,goldmsi3:9,goldmsi3:10,goldmsi3:11,goldmsi4:1,goldmsi5:1,goldmsi6:1,goldmsi7:1,goldmsi8:1,goldmsi9:1,goldmsi10:1,goldmsi11:1,act_eng:1,perc_abi:1,mus_trai:1,sing_abi:1,emo:1,mus_soph:1,country,TIME_start,TIME_end,TIME_total
s.269bce86-a471-4d99-9fed-4c4b19f7701d.txt,中国,汉语,23,2,4,,2,,,4,,4,,,,2,2,2,,,,,2,4,,4,,,4,,,,,,,,,,,,,,,,,,,,,4,4,,,,4,,,,,,,,,,,,,,,,,2,2,2,,,,,,4,,,,,,,,,,,,4,,4,,,,,4,,,,,,,4,2,4,,4,,,4,4,1,,,,,4,4,4,,,4,,,,,,,,,,,,4,,4,,,,,,,,,4,,4,,4,,,,,,,2,,,,,4,,,,,,,,,,4,4,,4,,4,,,,,,,,,4,4,2,,,4,,4,,,2,,,,,,,,4,,4,,,4,4,,,,,,4,,4,,,,,4,,,,,,,4,4,4,2,,4,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,2,4,,4,2,,4,,,,,,,,,4,,,4,,,4,,,,,,,,4,,,,,,,,,5,4,3,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,5,4,4,4,1,3,1,2,1,3,2,7,32,37,17,30,25,68,"HK, Hong Kong",2019-06-12-06-25,2019-06-12-06-37,12
s.5dcfcd96-4823-4c66-87c3-005c68d4cc57.txt,中国,汉语,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-06-18-14-36,,
s.d15d9628-7a39-4fe7-85d6-b0ecb5ebee19.txt,中国,汉语,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO, Norway",2019-06-05-22-31,,
s.69545eb4-ee12-4a39-924c-f57a6d056a88.txt,中国,中文,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,4,5,2,1,,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US, United States",2019-06-03-15-06,,
s.656cfc33-1693-41a5-b200-372c2ef1a97b.txt,China,Chinese,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,4,4,,2,1,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,4,1,,2,1,1,1,1,5,5,1,1,5,1,1,1,2,5,1,1,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,,4,1,1,1,,4,5,1,1,2,5,2,1,1,2,5,1,2,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,1,,5,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-06-03-01-46,,
s.611f14e4-c06e-4559-90e6-dfe1ad1367e6.txt,中国,汉语,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,4,5,4,,,4,2,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,,4,1,1,,1,1,5,2,2,1,1,1,4,4,4,2,2,5,2,4,5,2,,,,,,,,,,,,,,,,2,1,2,5,,5,2,2,4,2,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,,,4,2,4,1,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,2,2,2,4,2,,4,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-06-18-14-59,,
s.7d768aab-c059-4f43-b671-21ecd377a359.txt,中国,中文,30,1,4,4,4,1,1,4,,,1,4,2,2,1,1,,1,,,2,4,2,2,2,4,,4,4,1,1,1,1,,4,2,,,,2,2,1,1,1,1,1,1,,4,2,2,2,4,2,2,,1,2,1,1,2,2,2,2,,4,2,4,1,1,1,1,2,1,1,,2,,2,,2,4,2,2,1,4,1,1,1,4,2,2,2,2,2,,2,,4,1,1,1,1,4,2,2,2,,,2,2,,1,1,1,1,1,4,,,,,,,2,,1,4,1,1,1,,4,2,,,4,,,,1,1,1,1,1,4,2,,2,,2,,,,1,1,2,2,2,,2,,2,,2,4,2,2,1,1,1,4,,2,4,2,4,,,,,4,,1,1,2,1,4,4,,,,4,2,4,4,1,1,1,2,2,2,2,,,,2,4,2,2,1,1,1,1,1,,2,,2,2,2,,2,,1,1,1,1,1,4,4,2,2,2,4,,,4,1,4,1,1,1,,2,4,,,2,4,2,,1,1,1,1,1,,2,4,2,,2,5,2,2,1,1,1,1,1,,2,,,,2,4,2,2,1,1,1,1,1,,4,5,2,2,,,,4,1,1,1,1,1,4,2,,2,2,1,2,,4,1,1,7,2,4,5,5,5,5,5,6,5,5,5,6,5,5,4,5,5,5,6,6,5,5,5,5,4,3,5,4,3,6,4,4,1,1,3,2,3,21,41,45,22,32,29,83,"CN, China",2019-06-05-10-34,2019-06-05-13-53,199
s.71afc5a9-a135-4ef9-a615-cda617875143.txt,中国,汉语,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-06-18-14-57,,
s.bf831528-3531-431b-a189-0ab0da6af4c8.txt,China,Chinese,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SG, Singapore",2019-05-29-12-04,,
s.a88930fb-9bdf-43ca-aecb-a5b8da37327d.txt,中国,中国话,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HK, Hong Kong",2019-06-17-11-04,,
s.0d577ca2-eece-4c09-9383-352a26691d8a.txt,China,Mandarin,27,1,5,4,,1,1,4,,,1,4,1,1,1,1,4,2,,,1,4,1,,2,4,,,1,1,4,5,,2,,2,4,2,,,,4,1,1,2,,2,,5,,,,4,,,4,1,1,,,4,,2,,,4,,4,,4,1,1,4,4,,2,2,4,,,,2,,4,1,4,1,1,1,5,,4,1,1,,1,4,4,1,4,2,1,1,5,1,5,1,1,,1,4,4,1,4,2,2,1,5,4,5,1,1,4,,,5,1,4,1,2,2,5,4,4,2,2,4,2,4,5,1,1,,4,,4,2,5,2,,2,,,4,1,1,4,,2,,1,5,2,2,1,2,2,,1,4,,4,4,,,2,5,2,,4,,,1,2,,4,4,2,,2,5,2,,4,,4,1,1,2,2,2,5,,4,2,,,,4,4,1,,4,4,,2,2,4,2,2,2,,2,1,1,1,1,1,1,4,5,,1,1,5,1,,4,1,5,,,,4,,5,4,2,5,4,2,4,1,1,4,2,2,,2,4,2,,2,2,,,1,1,,,4,2,2,2,,,,4,,,1,1,,,,,4,4,,,,,4,4,1,4,,,,4,2,,,,,,,4,1,1,5,6,6,7,7,7,5,5,7,6,5,6,6,4,5,6,5,5,5,6,5,7,5,7,7,4,4,4,5,3,6,2,6,2,2,3,3,2,2,41,52,24,38,36,93,"GB, United Kingdom",2019-06-10-17-27,2019-06-10-20-57,210
s.44b77be0-58a5-4fd6-8685-0c7688bb1fc7.txt,新加坡,华文,27,1,4,5,4,4,1,,4,4,1,4,,1,1,1,5,5,5,4,1,4,1,1,1,5,1,1,1,,4,4,,2,2,2,4,1,4,,,,1,4,4,4,2,1,1,2,5,1,1,1,1,,1,,4,1,1,,1,1,1,4,1,4,1,1,1,1,4,4,1,,1,5,4,1,1,1,4,,1,4,1,1,1,5,,5,1,1,,1,4,4,5,4,1,1,1,5,4,4,1,1,4,1,4,2,1,4,1,1,1,,4,5,1,1,4,1,4,,1,4,1,1,1,2,4,2,2,1,5,1,4,,1,1,2,,1,4,,4,4,1,4,1,2,2,1,2,2,2,1,4,,5,1,1,1,1,,2,1,,5,5,5,1,1,1,5,4,1,,1,2,1,4,4,4,4,1,1,1,5,,1,,4,,1,1,1,1,1,5,,2,1,1,,1,1,,1,1,5,4,4,4,1,,,1,1,4,1,2,1,2,1,1,1,4,4,4,1,1,4,1,4,2,1,4,4,1,1,4,1,4,1,1,2,4,1,,1,1,4,5,,4,1,2,1,,1,4,1,1,1,2,4,5,,1,1,1,,2,1,4,1,1,1,2,1,1,1,2,4,5,1,1,4,1,5,,1,,,,,4,4,4,1,1,2,,2,2,1,,2,2,1,2,3,5,4,5,6,4,2,3,4,4,3,5,5,3,3,5,2,3,3,5,2,5,3,5,2,1,6,2,2,1,2,2,2,3,21,27,31,17,20,27,52,"SG, Singapore",2019-06-09-07-58,2019-06-09-08-41,43
s.13c98292-dfbf-45dc-a1f1-f79ec4d3b475.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES, Spain",2019-06-17-16-45,,
s.a600f2bd-6dbf-4782-b1ff-dbb5a5699506.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HK, Hong Kong",2019-06-10-05-45,,
s.3a895385-106d-4a38-9a02-8ef250084662.txt,中国,汉语,22,2,,,,,,,,,,,,,,,5,5,,1,1,5,4,1,1,5,1,4,1,1,,,,,,,,,,,,,,,1,4,1,1,1,1,5,1,1,1,1,,1,1,,,,,,,,,,,,,,,4,4,1,1,1,,4,1,1,5,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,1,4,1,1,1,4,1,4,1,1,,,,,,,,,,,,,,,1,1,1,5,5,1,,1,4,1,5,4,1,1,1,1,1,1,1,4,5,1,4,1,1,4,1,1,2,2,1,1,1,5,1,4,1,2,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-05-27-15-30,,
s.40c3919d-ac60-4f7a-b7f1-6aba9b7cb4f9.txt,中国,中文,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US, United States",2019-06-04-11-29,,
s.339a1619-0c4b-4943-9fd0-df85edd2ca43.txt,中国,中文,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,1,1,5,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-06-16-19-24,,
s.b015a721-48a6-495e-805f-8e72ab0af834.txt,中国,中文,36,1,5,4,,1,1,5,,2,1,4,1,1,1,1,,2,2,4,1,5,1,2,1,,1,4,1,,,4,,1,2,2,,2,2,2,1,2,1,4,,4,,2,2,2,4,2,2,2,1,2,1,4,2,2,2,4,,,1,2,,2,1,,1,,,2,2,,1,5,2,2,1,2,1,,1,4,1,1,1,5,2,4,1,2,,1,1,4,4,5,1,1,1,5,2,,1,,2,1,1,4,1,5,1,2,2,5,4,,1,2,,2,1,5,1,5,,,,4,4,,,,4,2,2,,1,1,2,2,2,4,2,4,1,2,2,2,1,4,1,4,4,,2,,1,5,2,2,2,2,1,1,1,4,4,4,,1,2,2,4,,2,2,1,2,1,4,2,4,,2,2,2,4,2,,2,1,,1,1,2,1,2,4,,4,2,2,2,2,1,,1,,,,2,,,4,2,2,2,2,1,2,1,,1,1,1,5,4,,1,1,5,1,,4,1,5,2,2,1,,2,4,,1,4,2,1,4,1,1,,,2,2,1,2,2,2,1,2,1,1,1,,,4,,2,,2,4,,1,2,,2,1,,1,1,1,5,4,4,2,2,,2,1,5,1,5,2,2,2,4,2,4,2,2,2,2,1,4,1,4,5,6,3,3,6,5,6,7,7,7,5,5,6,4,6,6,5,6,5,7,4,6,6,6,4,5,2,5,5,5,7,2,2,1,3,2,1,3,4,40,50,16,35,38,77,"SG, Singapore",2019-06-08-10-38,2019-06-08-11-19,41
s.65311ca2-966c-408e-8ad8-109f2523a7c4.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HK, Hong Kong",2019-06-10-10-04,,
s.6ff57ad7-8942-4f08-beb1-b468d1a508cd.txt,中国,汉语,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN, China",2019-06-04-18-30,,
s.ec86c262-49ba-4ca4-b8bb-c7a15f52d3a5.txt,中国,普通话,23,1,4,4,1,1,1,4,4,1,1,,,4,1,1,4,2,2,2,2,4,2,2,2,4,2,4,1,1,,,,,,,,,,,,,,,1,4,1,4,4,4,1,1,4,1,4,4,1,1,2,4,4,4,4,2,2,2,2,4,4,4,1,1,,,,,,,,,,,,,,,2,2,2,4,2,4,2,2,4,2,4,4,4,2,1,1,1,5,4,4,1,4,2,2,2,4,1,1,,,,,,,,,,,,,,,1,4,2,4,4,4,4,2,4,2,4,4,1,1,4,2,2,4,4,4,2,2,4,2,2,4,1,1,4,4,2,4,2,4,2,2,2,2,2,4,1,1,2,4,2,2,2,2,4,2,4,4,2,4,1,1,2,4,4,2,,2,5,2,4,4,4,4,1,1,,,,,,,,,,,,,,,4,2,2,2,2,4,2,2,2,4,2,4,1,1,2,2,2,4,4,4,2,2,5,2,4,4,1,2,2,4,2,2,4,4,4,2,4,2,4,4,1,1,4,2,2,4,1,4,2,2,1,2,2,2,2,2,,4,2,2,,,2,2,2,2,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US, United States",2019-06-13-09-25,,
s.f0b1843a-e4af-4b99-87a9-26bcbd576fcf.txt,中国,吴语、普通话,24,2,5,5,5,1,1,5,1,,1,5,1,1,1,1,5,4,5,2,1,4,1,1,1,5,1,1,1,,1,2,2,,4,,,2,,1,1,,1,4,1,,1,2,4,2,4,1,,1,,,1,2,,4,5,2,1,,2,4,1,5,1,1,1,,5,4,4,2,1,5,1,4,1,4,1,1,1,4,2,1,1,5,4,5,1,4,,2,,,1,4,2,1,1,,1,5,1,4,1,4,1,1,1,4,2,1,1,4,5,,2,4,5,1,,4,1,,1,1,1,4,5,,2,2,5,1,2,4,1,5,1,4,2,4,2,4,1,2,1,4,1,1,1,1,5,5,5,1,1,4,1,,1,5,1,1,1,1,1,1,1,2,5,2,4,2,4,1,,4,1,2,1,4,1,2,5,1,5,2,5,1,5,5,1,4,5,4,1,,1,4,1,4,1,4,1,1,1,2,2,2,,5,2,,1,4,1,4,1,,1,2,1,1,1,4,5,4,1,,4,1,,2,1,5,1,1,1,4,,5,2,,5,1,,1,1,4,5,5,5,,1,5,1,2,1,5,1,1,1,1,,4,,2,1,,4,1,2,,1,1,1,1,1,1,1,,5,5,1,4,5,1,,5,1,5,2,,2,5,4,4,1,4,2,2,1,,1,,7,7,7,6,5,7,6,2,6,6,5,6,6,2,7,7,6,6,5,5,5,6,6,7,5,4,2,5,7,6,6,5,5,1,3,3,3,4,3,45,51,23,42,36,98,"ES, Spain",2019-06-17-16-48,2019-06-17-17-16,28
